Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part
4u7,Capacitor SMD 0603 50V,"C1, C3, C6, C8, C9, C19, C22, C25, C26, C27",CAP_0603,CAP_0603_50V,10,
100n,Capacitor SMD 0402 50V,"C2, C4, C5, C7, C10, C11, C12, C13, C14, C15, C18, C20, C21, C23, C24",CAP_0402,CAP_0402_50V,15,
10p,Capacitor SMD 0402 50V,"C16, C17, C28",CAP_0402,CAP_0402_50V,3,
RED,LED 0402 RED SMD,"D1, D2",LED_0402_RED,LED_0402_RED,2,
STM32F401RCT6,Integrated Circuit,IC1,QFP50P1200X1200X160-64N,STM32F401RCT6,1,
CON-SOCJ-2155,DC Barrell Jack 2.1mm 30V 2.5A THT,J1,CON-SOCJ-2155,CON-SOCJ-2155,1,
TYPE-C-31-M-12,USB Type C Connector Horizontal SMT,J2,TYPE-C-31-M-12,TYPE-C-31-M-12,1,
47u,Inductor SMD 47uH 4A 20%,L1,SPM10065VT-220M-D,SPM10065VT-470M-D,1,
DMP6050SPS-13,MOSFET P-Channel Vds=60V Vgs=+-20V Id=26A Rds(on|=50mOhms,"Q1, Q2",PowerDI5060-8,DMP6050SPS-13,2,
2N7002NXAKR,MOSFET N-Channel Vds=60V Id=300mA with ESD Protection,Q3,"SSM3J338R,LF-SOT23-F",2N7002NXAKR,1,
3mR,Current Sense Resistor SMD 0805,R1,RES_5931,RES_5931,1,
20k,Resistor SMD 0402,"R2, R3, R4, R17, R25, R26, R27, R28, R30",RES_0402,RES_0402,9,
2k2,Resistor SMD 0402,"R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R18, R19, R20, R21, R22, R24, R29",RES_0402,RES_0402,19,
DNP,Resistor SMD 0402,R23,RES_0402,RES_0402,1,
INA180A4IDBVT,Current Sense Amplifier 200V/V Gain 105kHz BW SOT-23-5,U1,SOT-23-5,INA180A4IDBVT,1,
CYPD3177-24LQXQ,USB Type-C Port Controller for Power Sinks,U2,QFN-24-0MM5,CYPD3177-24LQXQ,1,
SY8303AIC,"High Efficiency Fast Response, 3A, 40V Input Synchronous Step Down Regulator",U3,TSOT23-8,SY8303AIC,1,
16MHz,Crystal SMD 2520,X1,XTAL_2520,XTAL_2520,1,
